name,team,pos,adp,proj_points
Johnny Wilson,PHI,WR117,367,
Davis Allen,LAR,TE52,367,
Ramiz Ahmed,,K35,435,
Anthony McFarland Jr.,,RB88,463.3,
Mo Alie-Cox,IND,TE53,368.5,
Mason Crosby,,K36,237,
Chase McLaughlin,TB,K37,237,9.6
Michael Wiley,WAS,RB89,238,
DJ Chark Jr.,,WR118,371,
David Moore,CAR,WR119,371,
Nick Folk,,K38,242,
John Metchie III,HOU,WR120,371.5,4.3
Robert Woods,,WR121,373,
Michael Pratt,TB,QB48,522,
Lucas Havrisik,,K39,399,
Tanner Brown,,K40,402.5,
Lucky Jackson,MIN,WR122,379.5,
Tyson Bagent,CHI,QB49,380,
Julio Jones,,WR123,380,
Trace McSorley,,QB50,431,
Jacob Saylors,,RB90,564.5,
Adam Trautman,DEN,TE54,381,
Julian Hill,MIA,TE55,382,
Jaren Hall,SEA,QB51,510.5,
Rasheen Ali,BAL,RB91,382.5,
Rodrigo Blankenship,,K41,265,
Jeff Wilson Jr.,,RB92,384.5,
Cornelius Johnson,GB,WR124,269,
Devin Leary,BAL,QB52,583.5,
Joe Milton III,DAL,QB53,386,19.2
Ronnie Bell,DET,WR125,386,
Ty,,,,
Anthony Jones,,RB94,274,
Tanner Hudson,CIN,TE56,387.5,
Dante Miller,NYG,RB95,536,
K.J. Costello,,QB54,276,
Tejhaun Palmer,ARI,WR126,276,
Bo Melton,GB,WR127,389,
Austin Hooper,NE,TE57,389.5,
Brandon Powell,,WR128,389.5,
Derius Davis,LAC,WR129,520.5,
Christopher Dunn,,K42,279,
Carolina Panthers,DST,DST32,280,
Charlie Taumoepeau,,TE58,280,
Raheem Blackshear,CAR,RB96,410.5,
Cordarrelle Patterson,PIT,RB97,281,
Gerald Everett,,TE59,284,
Dylan McDuffie,,RB98,284,
Nathan Rourke,,QB55,519.5,
SaRodorick Thompson Jr.,,RB99,533.5,
Ainias Smith,PHI,WR130,394,
Cole Fotheringham,,TE60,570.5,
MyCole Pruitt,,TE61,427,
AJ Barner,SEA,TE62,395,4.6
Jon Hilliman,,RB100,290,
Jazz Ferguson,,WR131,291,
Peyton Hendershot,,TE63,396,
Isaiah Williams,CIN,WR132,413,
Jalen Virgil,BUF,WR133,292,
Josh Lambo,,K43,293,
Matt Barkley,,QB56,294,
Jhamon Ausbon,,WR134,294,
Patrick Ricard,BAL,RB101,397.5,
James White,,RB102,296,
Ethan Fernea,,WR135,297,
Grant Calcaterra,PHI,TE64,414,
Eddy Pineiro,,K44,298,6.3
Van Jefferson,TEN,WR136,299,
Trenton Irwin,,WR137,400,
Britain Covey,,WR138,415.5,
Eric Tomlinson,,TE65,550,
J.D. McKissic,,RB103,301,
C.J. Ham,MIN,RB104,401,
Max Duggan,,QB57,581,
Pharaoh Brown,MIA,TE66,402,
Skylar Thompson,PIT,QB58,505.5,
Kalif Raymond,DET,WR139,304,
Corey Clement,,RB105,305,
Chris Conley,,WR140,403.5,
Peter LeBlanc,,WR141,310,
DeeJay Dallas,ARI,RB106,409.5,
Derek Watt,,RB107,311,
Michael Gallup,WAS,WR142,311,
Eli Stove,,WR143,312,
Jalen Brooks,DAL,WR144,428.5,
Caleb Huntley,,RB108,313,
Johnny Mundt,JAC,TE67,407.5,
Clayton Thorson,,QB59,316,
Tim Patrick,DET,WR145,319,5.8
Andy Dalton,CAR,QB60,410,
Kyle Allen,DET,QB61,410,
Cole McDonald,,QB62,321,
Mac Jones,SF,QB63,418.5,10.4
Malik Heath,GB,WR146,412,
Malcolm Brown,,RB109,324,
Brandon Allen,TEN,QB64,413,
Sione Vaki,DET,RB110,442.5,
Calvin Austin III,PIT,WR147,326,7
Robbie Gould,,K45,327,
Alec Pierce,IND,WR148,414.5,10.1
Armani Rogers,BUF,TE68,522.5,
Dylan Drummond,ATL,WR149,608.5,
Anthony Brown Jr.,,QB65,432,
Xavier Weaver,ARI,WR150,474.5,
Nelson Agholor,,WR151,332,
Josh Johnson,WAS,QB66,446.5,
Jacoby Brissett,ARI,QB67,333,
Leonard Fournette,,RB111,334,
Will Mallory,IND,TE69,417.5,
Donovan Peoples-Jones,,WR152,336,
Colson Yankoff,WAS,TE70,418.5,
Charlie Jones,CIN,WR153,439.5,
Mack Hollins,NE,WR154,419,5.8
Stetson Bennett,LAR,QB68,546.5,
Josh Gordon,,WR155,338,
Jordan Akins,,TE71,420,
Jameis Winston,NYG,QB69,421,11.9
Malik Willis,GB,QB70,521,
Riley Patterson,,K46,422,
Treylon Burks,TEN,WR156,347,
Keaontay Ingram,KC,RB112,349,
Sean Clifford,GB,QB71,550.5,
Matt Ryan,,QB72,350,
Byron Pringle,,WR157,580,
Ty Johnson,BUF,RB113,354,5.4
Marcedes Lewis,,TE72,428,
Craig Reynolds,DET,RB114,356,
Drew Ogletree,IND,TE73,441,
Jalen Nailor,MIN,WR158,443,6.1
Drew Sample,CIN,TE74,486,
Sam Howell,SEA,QB73,361,
Travis Homer,CHI,RB115,485.5,
Velus Jones Jr.,NO,WR159,442.5,
Jakob Johnson,HOU,RB116,364,
Ryan Flournoy,DAL,WR160,462.5,
Henry Pearson,,RB117,367,
Jake Tonges,SF,TE75,532,
Tutu Atwell,LAR,WR161,370,5.8
Shane Zylstra,DET,TE76,372,
Chris Blair,ATL,WR162,605.5,
Nick Sciba,,K47,373,
Alec Ingold,MIA,RB118,374,
Justyn Ross,KC,WR163,375,
Jake Funk,,RB119,445.5,
Khari Blasingame,,RB120,379,
Kenny McIntosh,SEA,RB121,379,
Emanuel Wilson,GB,RB122,380,5.6
Ameer Abdullah,,RB123,381,7.8
Dante Pettis,NO,WR164,594.5,
Davis Mills,HOU,QB74,528.5,
Nick Foles,,QB75,384,
James Turner,,K48,385,
Tucker Fisk,LAC,TE77,565,
Jarrett Stidham,DEN,QB76,386,
Albert Okwuegbunam Jr.,IND,TE78,514.5,
Frank Gore Jr.,BUF,RB124,387,
Jordan Travis,NYJ,QB77,556,
Justin Jackson,,RB125,388,
Brayden Narveson,,K49,388,
Matthew Wright,CAR,K50,389,
Hunter Long,JAC,TE79,534.5,
Trishton Jackson,ARI,WR165,448.5,
Steven Sims Jr.,SEA,WR166,391,
Hunter Renfrow,,WR167,392,
Bailey Zappe,KC,QB78,462,
Jamari Thrash,CLE,WR168,476.5,
Kevin Harris,,RB126,397,
Scotty Miller,PIT,WR169,509.5,
Israel Abanikanda,SF,RB127,401,
Ben DiNucci,NO,QB79,520.5,
Trey Palmer,TB,WR170,402,
Kayshon Boutte,NE,WR171,580.5,8.3
Deneric Prince,,RB128,403,
Blake Watson,DEN,RB129,562.5,
River Cracraft,SEA,WR172,494.5,
Ryan Succop,,K51,406,
Charlie Smyth,NO,K52,406,
Xavier Hutchinson,HOU,WR173,580.5,
Rodney Williams,,TE80,577,
Kareem Hunt,KC,RB130,409,12
Mitchell Trubisky,BUF,QB80,455.5,
British Brooks,HOU,RB131,573,
Matthew Slater,,WR174,411,
Dare Ogunbowale,HOU,RB132,412,
Ray-Ray McCloud III,ATL,WR175,413,8.3
Princeton Fant,DAL,TE81,484,
Parris Campbell,DAL,WR176,415,
James Robinson,,RB133,532,
Jake Browning,CIN,QB81,416,
Tylan Wallace,BAL,WR177,464.5,
Josh Pederson,,TE82,418,
Kylen Granson,PHI,TE83,419,
Carson Strong,,QB82,420,
Mark Ingram,II,RB134,421,
David Bell,CLE,WR178,422,
A.J. Green,,WR179,423,
Cody Schrader,LAR,RB135,462,
Ben Sims,GB,TE84,651.5,
Parker Washington,JAC,WR180,425,5.7
Brady Russell,SEA,TE85,599,
Emari Demercado,ARI,RB136,430,
Hunter Luepke,DAL,RB137,602,
Jimmy Graham,,TE86,431,
Marquez Valdes-Scantling,SEA,WR181,466,6
Zach Pascal,NYG,WR182,506.5,
Teddy Bridgewater,,QB83,434,
Ryan Tannehill,,QB84,435,
Brenton Strange,JAC,TE87,491.5,5.4
Jha'Quan Jackson,TEN,WR183,667.5,
Noah Brown,WAS,WR184,438,7.8
Tanner McKee,PHI,QB85,599.5,
Isaiah McKenzie,,WR185,470.5,
Parker Hesse,,TE88,534,
Melvin Gordon,III,RB138,441,
Tyreik McAllister,LV,RB139,490,
Rex Burkhead,,RB140,443,
Drew Lock,SEA,QB86,444,
Eric Saubert,SEA,TE89,510.5,
Donald Parham Jr.,PIT,TE90,445,
Caleb Shudak,,K53,445,
Jeremy Ruckert,NYJ,TE91,473,
Zack Kuntz,NYJ,TE92,603,
Lil'Jordan Humphrey,NYG,WR186,447,
KJ Hamler,BUF,WR187,447,
Deonte Harty,,WR188,537.5,
Bub Means,NO,WR189,449,
Quez Watkins,ARI,WR190,450,
Trent Taylor,SF,WR191,515,
Dez Fitzpatrick,LAC,WR192,452,
Kene Nwangwu,NYJ,RB141,453,
Nathan Peterman,,QB87,515.5,
Michael Carter,ARI,RB142,454,
Lucas Krull,DEN,TE93,496.5,
Terrell Bynum,,WR193,674,
Malik Davis,DAL,RB143,459,
Ellis Merriweather,GB,RB144,623,
Jerick McKinnon,,RB145,460,
Samson Nacua,,WR194,460,
Ronnie Rivers,LAR,RB146,461,
Randy Bullock,,K54,462,
Cedric Tillman,CLE,WR195,462,7.3
Zach Evans,NYJ,RB147,463,
Charlie Woerner,ATL,TE94,560.5,
Chris Rodriguez Jr.,WAS,RB148,464,3.9
James McCourt,,K55,464,
Gunner Olszewski,,WR196,548,
E.J. Jenkins,PHI,TE95,466,
John Stephens Jr.,DAL,WR197,620.5,
Xavier Gipson,NYJ,WR198,467,
Antoine Green,DET,WR199,609,
Chris Brooks,GB,RB149,468,3.2
Jaheim Bell,NE,TE96,484.5,
Ian Thomas,LV,TE97,529.5,
Sean Tucker,TB,RB150,469,4
Devaughn Vele,DEN,WR200,631,8.2
Jonathan Garibay,,K56,470,
Bryce Perkins,,QB88,471,
Jase McClellan,ATL,RB151,471,
Jacob Harris,,TE98,575,
Kameron Johnson,TB,WR201,473,
DeAndre Carter,CLE,WR202,636.5,
Tyrod Taylor,NYJ,QB89,475,
Xazavian Valladay,NO,RB152,674.5,
Austin Seibert,,K57,545,
Brandon Bolden,,RB153,477,
Ashton Dulin,IND,WR203,477,
Damien Harris,,RB154,478,
Devin Culp,TB,TE99,478,
DeVante Parker,,WR204,479,
Marcus Mariota,WAS,QB90,480,15.3
Reggie Gilliam,BUF,RB155,571.5,
C.J. Uzomah,,TE100,481,
Sterling Shepard,TB,WR205,482,
John Bates,WAS,TE101,500.5,
Chris Oladokun,KC,QB91,597,
Eno Benjamin,,RB156,484,
Luke Farrell,SF,TE102,580.5,
